timestamp,resultid,vote_count
2026-04-16T06:03:52.070Z,D0005,0
2026-04-16T06:03:52.070Z,S0096,0
2026-04-16T06:03:52.070Z,S0251,0
2026-04-16T06:03:52.070Z,C0171,0
2026-04-16T06:03:52.070Z,C0320,0
2026-04-16T06:03:52.070Z,A0074,0
2026-04-16T06:03:52.070Z,A0190,8
2026-04-16T06:03:52.070Z,A0203,2
2026-04-16T06:03:52.070Z,B0028,0
2026-04-16T06:03:52.070Z,A0232,0
2026-04-16T06:03:52.070Z,C0188,0
2026-04-16T06:03:52.070Z,T0027,0
2026-04-16T06:03:52.070Z,S0175,0
2026-04-16T06:03:52.070Z,B0029,0
2026-04-16T06:03:52.070Z,B0100,17
2026-04-16T06:03:52.070Z,A0173,0
2026-04-16T06:03:52.070Z,A0127,0
2026-04-16T06:03:52.070Z,S0167,0
2026-04-16T06:03:52.070Z,A0031,0
2026-04-16T06:03:52.070Z,C0108,0
2026-04-16T06:03:52.070Z,C0037,0
2026-04-16T06:03:52.070Z,C0011,0
2026-04-16T06:03:52.070Z,C0256,0
2026-04-16T06:03:52.070Z,B0010,1
2026-04-16T06:03:52.070Z,A0071,0
2026-04-16T06:03:52.070Z,C0305,0
2026-04-16T06:03:52.070Z,S0205,1
2026-04-16T06:03:52.070Z,A0129,4
2026-04-16T06:03:52.070Z,S0243,0
2026-04-16T06:03:52.070Z,C0291,0
2026-04-16T06:03:52.070Z,A0328,0
2026-04-16T06:03:52.070Z,B0160,46
2026-04-16T06:03:52.070Z,S0091,0
2026-04-16T06:03:52.070Z,C0283,0
2026-04-16T06:03:52.070Z,C0229,0
2026-04-16T06:03:52.070Z,T0036,0
2026-04-16T06:03:52.070Z,S0246,0
2026-04-16T06:03:52.070Z,A0193,0
2026-04-16T06:03:52.070Z,C0134,0
2026-04-16T06:03:52.070Z,A0256,0
2026-04-16T06:03:52.070Z,T0029,0
2026-04-16T06:03:52.070Z,S0115,0
2026-04-16T06:03:52.070Z,C0195,0
2026-04-16T06:03:52.070Z,A0243,4
2026-04-16T06:03:52.070Z,A0119,0
2026-04-16T06:03:52.070Z,T0035,0
2026-04-16T06:03:52.070Z,A0070,0
2026-04-16T06:03:52.070Z,A0090,0
2026-04-16T06:03:52.070Z,C0156,0
2026-04-16T06:03:52.070Z,C0167,0
2026-04-16T06:03:52.070Z,C0190,0
2026-04-16T06:03:52.070Z,S0017,0
2026-04-16T06:03:52.070Z,C0177,0
2026-04-16T06:03:52.070Z,C0237,0
2026-04-16T06:03:52.070Z,A0083,0
2026-04-16T06:03:52.070Z,C0244,0
2026-04-16T06:03:52.070Z,C0036,0
2026-04-16T06:03:52.070Z,B0069,0
2026-04-16T06:03:52.070Z,A0051,0
2026-04-16T06:03:52.070Z,C0234,0
2026-04-16T06:03:52.070Z,B0121,0
2026-04-16T06:03:52.070Z,A0253,0
2026-04-16T06:03:52.070Z,C0290,0
2026-04-16T06:03:52.070Z,A0320,0
2026-04-16T06:03:52.070Z,A0072,0
2026-04-16T06:03:52.070Z,S0040,0
2026-04-16T06:03:52.070Z,C0130,0
2026-04-16T06:03:52.070Z,C0225,0
2026-04-16T06:03:52.070Z,A0133,0
2026-04-16T06:03:52.070Z,C0211,0
2026-04-16T06:03:52.070Z,C0280,0
2026-04-16T06:03:52.070Z,A0187,4
2026-04-16T06:03:52.070Z,A0116,0
2026-04-16T06:03:52.070Z,A0171,0
2026-04-16T06:03:52.070Z,A0189,6
2026-04-16T06:03:52.070Z,D0016,9
2026-04-16T06:03:52.070Z,S0247,0
2026-04-16T06:03:52.070Z,B0094,0
2026-04-16T06:03:52.070Z,S0191,0
2026-04-16T06:03:52.070Z,A0075,1
2026-04-16T06:03:52.070Z,B0065,0
2026-04-16T06:03:52.070Z,S0043,0
2026-04-16T06:03:52.070Z,A0293,0
2026-04-16T06:03:52.070Z,C0122,0
2026-04-16T06:03:52.070Z,A0222,0
2026-04-16T06:03:52.070Z,A0275,7
2026-04-16T06:03:52.070Z,A0091,0
2026-04-16T06:03:52.070Z,C0273,0
2026-04-16T06:03:52.070Z,A0135,0
2026-04-16T06:03:52.070Z,C0161,0
2026-04-16T06:03:52.070Z,S0213,0
2026-04-16T06:03:52.070Z,C0333,0
2026-04-16T06:03:52.070Z,C0185,4
2026-04-16T06:03:52.070Z,S0170,0
2026-04-16T06:03:52.070Z,S0103,0
2026-04-16T06:03:52.070Z,C0109,0
2026-04-16T06:03:52.070Z,A0086,0
2026-04-16T06:03:52.070Z,B0159,1
2026-04-16T06:03:52.070Z,S0131,0
2026-04-16T06:03:52.070Z,A0278,2
2026-04-16T06:03:52.070Z,A0122,0
2026-04-16T06:03:52.070Z,C0048,0
2026-04-16T06:03:52.070Z,C0135,0
2026-04-16T06:03:52.070Z,C0259,0
2026-04-16T06:03:52.070Z,A0066,0
2026-04-16T06:03:52.070Z,D0004,0
2026-04-16T06:03:52.070Z,D0038,32
2026-04-16T06:03:52.070Z,C0245,0
